"AllTRLs_ID","date","predicted","actual","Trail_name"
5,"2016-01-08",1.34,NA,"Dingford Creek"
6,"2016-01-08",59.67,NA,"Snow Lake"
38,"2016-01-08",12.17,NA,"Quartz Creek"
39,"2016-01-08",12.17,NA,"Marten Lake"
40,"2016-01-08",7.34,NA,"Snoqualmie Lake"
42,"2016-01-08",12.73,NA,"CCC"
43,"2016-01-08",12.17,NA,"Middle Fork Lake"
44,"2016-01-08",12.17,NA,"Pratt River"
62,"2016-01-08",12.61,NA,"Pratt Lake"
64,"2016-01-08",14.25,NA,"Melakwa Lake Trail"
66,"2016-01-08",12.17,NA,"Kaleetan Lake"
90,"2016-01-08",17.56,NA,"Mailbox Peak"
91,"2016-01-08",12.17,NA,"Boulder Garden"
93,"2016-01-08",21.11,NA,"Mt. Si"
94,"2016-01-08",12.17,NA,"Teneriffe"
95,"2016-01-08",12.17,NA,"Granite Creek"
96,"2016-01-08",12.17,NA,"Little Si"
97,"2016-01-08",12.17,NA,"Thompson Lake"
98,"2016-01-08",12.17,NA,"CCC Trail (DNR)"
99,"2016-01-08",12.17,NA,"High Lakes"
100,"2016-01-08",12.17,NA,"Williams Lake"
101,"2016-01-08",12.17,NA,"Rock Creek"
102,"2016-01-08",12.17,NA,"Nordrum Lake"
103,"2016-01-08",12.17,NA,"Hester Lake"
104,"2016-01-08",12.17,NA,"Granite Creak Connector"
105,"2016-01-08",12.17,NA,"Dutch Miller Gap"
5,"2016-01-15",2.92,NA,"Dingford Creek"
6,"2016-01-15",76.59,NA,"Snow Lake"
38,"2016-01-15",18.34,NA,"Quartz Creek"
39,"2016-01-15",18.34,NA,"Marten Lake"
40,"2016-01-15",11.67,NA,"Snoqualmie Lake"
42,"2016-01-15",18.34,NA,"CCC"
43,"2016-01-15",18.34,NA,"Middle Fork Lake"
44,"2016-01-15",18.34,NA,"Pratt River"
62,"2016-01-15",23.41,NA,"Pratt Lake"
64,"2016-01-15",18.54,NA,"Melakwa Lake Trail"
66,"2016-01-15",18.34,NA,"Kaleetan Lake"
90,"2016-01-15",21.86,NA,"Mailbox Peak"
91,"2016-01-15",18.34,NA,"Boulder Garden"
93,"2016-01-15",27.67,NA,"Mt. Si"
94,"2016-01-15",18.34,NA,"Teneriffe"
95,"2016-01-15",18.34,NA,"Granite Creek"
96,"2016-01-15",18.34,NA,"Little Si"
97,"2016-01-15",18.34,NA,"Thompson Lake"
98,"2016-01-15",18.34,NA,"CCC Trail (DNR)"
99,"2016-01-15",18.34,NA,"High Lakes"
100,"2016-01-15",18.34,NA,"Williams Lake"
101,"2016-01-15",18.34,NA,"Rock Creek"
102,"2016-01-15",18.34,NA,"Nordrum Lake"
103,"2016-01-15",18.34,NA,"Hester Lake"
104,"2016-01-15",18.34,NA,"Granite Creak Connector"
105,"2016-01-15",18.34,NA,"Dutch Miller Gap"
5,"2016-01-22",1.3,NA,"Dingford Creek"
6,"2016-01-22",69.66,NA,"Snow Lake"
38,"2016-01-22",12.17,NA,"Quartz Creek"
39,"2016-01-22",12.17,NA,"Marten Lake"
40,"2016-01-22",7.43,NA,"Snoqualmie Lake"
42,"2016-01-22",12.17,NA,"CCC"
43,"2016-01-22",12.17,NA,"Middle Fork Lake"
44,"2016-01-22",12.17,NA,"Pratt River"
62,"2016-01-22",13.5,NA,"Pratt Lake"
64,"2016-01-22",13.75,NA,"Melakwa Lake Trail"
66,"2016-01-22",12.17,NA,"Kaleetan Lake"
90,"2016-01-22",15.7,NA,"Mailbox Peak"
91,"2016-01-22",12.17,NA,"Boulder Garden"
93,"2016-01-22",15.43,NA,"Mt. Si"
94,"2016-01-22",12.17,NA,"Teneriffe"
95,"2016-01-22",12.17,NA,"Granite Creek"
96,"2016-01-22",12.17,NA,"Little Si"
97,"2016-01-22",12.17,NA,"Thompson Lake"
98,"2016-01-22",12.17,NA,"CCC Trail (DNR)"
99,"2016-01-22",12.17,NA,"High Lakes"
100,"2016-01-22",12.17,NA,"Williams Lake"
101,"2016-01-22",12.17,NA,"Rock Creek"
102,"2016-01-22",12.17,NA,"Nordrum Lake"
103,"2016-01-22",12.17,NA,"Hester Lake"
104,"2016-01-22",12.17,NA,"Granite Creak Connector"
105,"2016-01-22",12.17,NA,"Dutch Miller Gap"
5,"2016-01-29",1.28,NA,"Dingford Creek"
6,"2016-01-29",69.55,NA,"Snow Lake"
38,"2016-01-29",12.17,NA,"Quartz Creek"
39,"2016-01-29",12.17,NA,"Marten Lake"
40,"2016-01-29",7.47,NA,"Snoqualmie Lake"
42,"2016-01-29",13.85,NA,"CCC"
43,"2016-01-29",12.17,NA,"Middle Fork Lake"
44,"2016-01-29",12.17,NA,"Pratt River"
62,"2016-01-29",13.43,NA,"Pratt Lake"
64,"2016-01-29",12.72,NA,"Melakwa Lake Trail"
66,"2016-01-29",12.17,NA,"Kaleetan Lake"
90,"2016-01-29",14.89,NA,"Mailbox Peak"
91,"2016-01-29",12.17,NA,"Boulder Garden"
93,"2016-01-29",16.4,NA,"Mt. Si"
94,"2016-01-29",12.17,NA,"Teneriffe"
95,"2016-01-29",12.17,NA,"Granite Creek"
96,"2016-01-29",12.17,NA,"Little Si"
97,"2016-01-29",12.17,NA,"Thompson Lake"
98,"2016-01-29",12.17,NA,"CCC Trail (DNR)"
99,"2016-01-29",12.17,NA,"High Lakes"
100,"2016-01-29",12.17,NA,"Williams Lake"
101,"2016-01-29",12.17,NA,"Rock Creek"
102,"2016-01-29",12.17,NA,"Nordrum Lake"
103,"2016-01-29",12.17,NA,"Hester Lake"
104,"2016-01-29",12.17,NA,"Granite Creak Connector"
105,"2016-01-29",12.17,NA,"Dutch Miller Gap"
5,"2016-10-07",3.54,3,"Dingford Creek"
6,"2016-10-07",518.15,1264,"Snow Lake"
38,"2016-10-07",30.23,NA,"Quartz Creek"
39,"2016-10-07",29.16,NA,"Marten Lake"
40,"2016-10-07",27.42,53.5,"Snoqualmie Lake"
42,"2016-10-07",29.16,NA,"CCC"
43,"2016-10-07",29.16,NA,"Middle Fork Lake"
44,"2016-10-07",29.16,NA,"Pratt River"
62,"2016-10-07",31.56,NA,"Pratt Lake"
64,"2016-10-07",40.47,NA,"Melakwa Lake Trail"
66,"2016-10-07",29.16,NA,"Kaleetan Lake"
90,"2016-10-07",40.89,NA,"Mailbox Peak"
91,"2016-10-07",29.16,NA,"Boulder Garden"
93,"2016-10-07",52.05,NA,"Mt. Si"
94,"2016-10-07",29.16,NA,"Teneriffe"
95,"2016-10-07",29.16,NA,"Granite Creek"
96,"2016-10-07",29.16,NA,"Little Si"
97,"2016-10-07",29.16,NA,"Thompson Lake"
98,"2016-10-07",29.16,NA,"CCC Trail (DNR)"
99,"2016-10-07",29.16,NA,"High Lakes"
100,"2016-10-07",29.16,NA,"Williams Lake"
101,"2016-10-07",29.16,NA,"Rock Creek"
102,"2016-10-07",29.16,NA,"Nordrum Lake"
103,"2016-10-07",29.16,NA,"Hester Lake"
104,"2016-10-07",29.16,NA,"Granite Creak Connector"
105,"2016-10-07",32.65,NA,"Dutch Miller Gap"
5,"2016-10-14",3.72,4,"Dingford Creek"
6,"2016-10-14",460.16,201.5,"Snow Lake"
38,"2016-10-14",29.16,NA,"Quartz Creek"
39,"2016-10-14",29.16,NA,"Marten Lake"
40,"2016-10-14",22.81,15.5,"Snoqualmie Lake"
42,"2016-10-14",29.16,NA,"CCC"
43,"2016-10-14",29.16,NA,"Middle Fork Lake"
44,"2016-10-14",29.16,NA,"Pratt River"
62,"2016-10-14",29.16,NA,"Pratt Lake"
64,"2016-10-14",34.18,NA,"Melakwa Lake Trail"
66,"2016-10-14",29.16,NA,"Kaleetan Lake"
90,"2016-10-14",32.87,NA,"Mailbox Peak"
91,"2016-10-14",29.16,NA,"Boulder Garden"
93,"2016-10-14",42.57,NA,"Mt. Si"
94,"2016-10-14",29.16,NA,"Teneriffe"
95,"2016-10-14",29.16,NA,"Granite Creek"
96,"2016-10-14",29.16,NA,"Little Si"
97,"2016-10-14",29.16,NA,"Thompson Lake"
